x1,x2,x3,x4,x5,x6,x7,y
67,1,1,1,1,1,67,0
107,2,2,1,1,0,67,0
154,3,3,1,1,0,67,1
184,4,4,1,1,0,67,1
221,5,5,1,1,0,67,1
317,6,6,1,1,0,67,1
336,7,7,1,1,0,67,1
389,8,8,1,1,0,67,1
447,9,9,1,1,0,67,1
452,10,10,1,1,0,67,1
143,1,9,9,9,9,143,1
403,1,1,1,1,1,403,1
115,1,1,1,1,1,115,1
260,2,2,1,1,0,115,1
290,3,3,1,1,0,115,1
32,1,1,1,1,1,32,0
56,2,2,1,1,0,32,1
82,1,1,1,1,1,82,0
92,2,2,1,1,0,82,0
112,3,3,1,1,0,82,0
122,4,4,1,1,0,82,0
123,5,5,1,1,0,82,0
132,6,6,1,1,0,82,1
143,7,7,1,1,0,82,1
160,8,8,1,1,0,82,1
200,9,9,1,1,0,82,1
235,10,10,1,1,0,82,1
243,11,11,1,1,0,82,1
284,12,12,1,1,0,82,1
291,13,13,1,1,0,82,1
304,14,14,1,1,0,82,1
328,15,15,1,1,0,82,1
333,16,16,1,1,0,82,1
364,17,17,1,1,0,82,1
391,18,18,1,1,0,82,1
398,19,19,1,1,0,82,1
473,20,20,1,1,0,82,1
0,1,1,1,1,1,0,0
1,2,2,1,1,0,0,0
2,3,3,1,1,0,0,0
3,4,4,1,1,0,0,0
7,5,7,3,3,2,0,0
8,6,8,1,3,0,0,0
10,7,9,1,3,0,0,0
11,8,10,1,3,0,0,0
12,9,18,8,10,7,0,0
13,10,19,1,10,0,0,0
14,11,20,1,10,0,0,0
15,12,21,1,10,0,0,0
16,13,24,3,11,1,0,0
20,14,25,1,11,0,0,0
21,15,26,1,11,0,0,0
22,16,27,1,11,0,0,0
23,17,28,1,11,0,0,0
24,18,29,1,11,0,0,0
25,19,30,1,11,0,0,0
26,20,31,1,11,0,0,0
27,21,39,8,11,0,0,0
28,22,40,1,11,0,0,0
29,23,41,1,11,0,0,0
30,24,42,1,11,0,0,0
32,25,43,1,11,0,0,0
33,26,44,1,11,0,0,0
34,27,45,1,11,0,0,0
35,28,46,1,11,0,0,0
36,29,47,1,11,0,0,0
38,30,48,1,11,0,0,0
39,31,49,1,11,0,0,0
40,32,50,1,11,0,0,0
42,33,51,1,11,0,0,0
43,34,52,1,11,0,0,0
44,35,53,1,11,0,0,0
45,36,54,1,11,0,0,0
46,37,55,1,11,0,0,0
47,38,56,1,11,0,0,0
48,39,57,1,11,0,0,0
49,40,58,1,11,0,0,0
51,41,67,9,18,7,0,0
52,42,68,1,18,0,0,0
54,43,69,1,18,0,0,0
58,44,70,1,18,0,0,0
59,45,74,4,20,2,0,0
