x1,x2,x3,x4,x5,x6,x7,y
180,1,1,1,1,1,180,1
129,1,1,1,1,1,129,0
142,2,2,1,1,0,129,0
151,3,3,1,1,0,129,0
253,4,4,1,1,0,129,0
263,5,5,1,1,0,129,0
343,6,6,1,1,0,129,0
351,7,7,1,1,0,129,1
400,8,8,1,1,0,129,1
3,1,1,1,1,1,3,0
38,2,2,1,1,0,3,0
41,3,3,1,1,0,3,0
65,4,4,1,1,0,3,1
79,5,5,1,1,0,3,1
82,6,6,1,1,0,3,1
100,7,7,1,1,0,3,1
124,8,8,1,1,0,3,1
135,9,9,1,1,0,3,1
166,10,10,1,1,0,3,1
180,11,11,1,1,0,3,1
214,12,12,1,1,0,3,1
222,13,13,1,1,0,3,1
238,14,14,1,1,0,3,1
323,15,15,1,1,0,3,1
335,16,16,1,1,0,3,1
369,17,17,1,1,0,3,1
301,1,1,1,1,1,301,0
323,2,2,1,2,1,301,1
338,3,3,1,2,0,301,1
65,1,1,1,1,1,65,0
323,2,2,1,1,0,65,1
214,1,1,1,1,1,214,0
240,2,2,1,2,1,214,1
146,1,1,1,1,1,146,1
15,1,1,1,1,1,15,0
17,2,2,1,1,0,15,0
33,3,3,1,1,0,15,0
49,4,4,1,1,0,15,0
50,5,5,1,1,0,15,0
55,6,6,1,1,0,15,0
59,7,7,1,1,0,15,0
68,8,8,1,1,0,15,0
72,9,9,1,1,0,15,0
78,10,10,1,1,0,15,0
79,11,11,1,1,0,15,0
82,12,12,1,1,0,15,0
88,13,13,1,1,0,15,0
96,14,14,1,1,0,15,0
99,15,15,1,1,0,15,0
100,16,16,1,1,0,15,0
102,17,17,1,1,0,15,0
107,18,18,1,1,0,15,1
113,19,19,1,1,0,15,1
120,20,20,1,1,0,15,1
124,21,21,1,1,0,15,1
144,22,22,1,1,0,15,1
147,23,23,1,1,0,15,1
155,24,24,1,1,0,15,1
166,25,25,1,1,0,15,1
176,26,26,1,1,0,15,1
189,27,27,1,1,0,15,1
196,28,28,1,1,0,15,1
214,29,29,1,1,0,15,1
222,30,30,1,1,0,15,1
232,31,31,1,1,0,15,1
238,32,32,1,1,0,15,1
247,33,33,1,1,0,15,1
253,34,34,1,1,0,15,1
260,35,35,1,1,0,15,1
263,36,36,1,1,0,15,1
281,37,37,1,1,0,15,1
283,38,38,1,1,0,15,1
296,39,39,1,1,0,15,1
314,40,40,1,1,0,15,1
329,41,41,1,1,0,15,1
331,42,42,1,1,0,15,1
335,43,43,1,1,0,15,1
344,44,44,1,1,0,15,1
346,45,45,1,1,0,15,1
369,46,46,1,1,0,15,1
380,47,47,1,1,0,15,1
389,48,48,1,1,0,15,1
398,49,49,1,1,0,15,1
400,50,50,1,1,0,15,1
405,51,51,1,1,0,15,1
379,1,1,1,1,1,379,1
2,1,1,1,1,1,2,0
3,2,2,1,1,0,2,0
18,3,3,1,1,0,2,0
26,4,4,1,1,0,2,0
28,5,5,1,1,0,2,0
29,6,6,1,1,0,2,0
31,7,7,1,1,0,2,0
32,8,8,1,1,0,2,0
34,9,9,1,1,0,2,0
35,10,10,1,1,0,2,0
38,11,11,1,1,0,2,0
39,12,12,1,1,0,2,0
40,13,13,1,1,0,2,0
41,14,14,1,1,0,2,0
42,15,15,1,1,0,2,0
46,16,16,1,1,0,2,0
50,17,17,1,1,0,2,0
65,18,18,1,1,0,2,0
67,19,19,1,1,0,2,0
70,20,20,1,1,0,2,0
72,21,21,1,1,0,2,0
76,22,22,1,1,0,2,0
77,23,23,1,1,0,2,0
79,24,24,1,1,0,2,0
82,25,25,1,1,0,2,0
87,26,26,1,1,0,2,0
91,27,27,1,1,0,2,0
93,28,28,1,1,0,2,0
98,29,29,1,1,0,2,0
100,30,30,1,1,0,2,0
104,31,31,1,1,0,2,0
109,32,32,1,1,0,2,0
111,33,33,1,1,0,2,0
121,34,34,1,1,0,2,0
124,35,35,1,1,0,2,0
126,36,36,1,1,0,2,0
128,37,37,1,1,0,2,1
132,38,38,1,1,0,2,1
135,39,39,1,1,0,2,1
141,40,40,1,1,0,2,1
148,41,41,1,1,0,2,1
152,42,42,1,1,0,2,1
